phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,value,obs_unit_id
Ni60,8610,11ME1.32,,-86359,42093,US,7.293872558,11172
Ni60,8610,11ME1.32,,-86359,42093,US,6.703028133,11173
Ni60,8610,11ME1.32,,-86359,42093,US,6.183492517,11174
Ni60,8610,11ME1.32,,-86359,42093,US,7.650416607,11175
Ni60,8610,11ME1.32,,-86359,42093,US,6.76414997,11176
Ni60,8610,11ME1.32,,-86359,42093,US,8.292195897,11177
Ni60,8796,11PNA4.101,,-86.3253,42.0945,US,5.839087508,11178
Ni60,8796,11PNA4.101,,-86.3253,42.0945,US,5.539647123,11179
Ni60,8796,11PNA4.101,,-86.3253,42.0945,US,6.699978616,11180
Ni60,8796,11PNA4.101,,-86.3253,42.0945,US,6.877771344,11181
Ni60,8796,11PNA4.101,,-86.3253,42.0945,US,5.923305117,11182
Ni60,8796,11PNA4.101,,-86.3253,42.0945,US,6.035595261,11183
Ni60,8692,328PNA054,,-86.3253,42.0945,US,6.270089084,11184
Ni60,8692,328PNA054,,-86.3253,42.0945,US,6.758069585,11185
Ni60,8692,328PNA054,,-86.3253,42.0945,US,6.398989594,11186
Ni60,8692,328PNA054,,-86.3253,42.0945,US,5.763694224,11187
Ni60,8692,328PNA054,,-86.3253,42.0945,US,7.365743417,11188
Ni60,8692,328PNA054,,-86.3253,42.0945,US,5.644000893,11189
Ni60,7571,627ME-4Y1,,-86359,42093,US,7.117217895,11190
Ni60,7571,627ME-4Y1,,-86359,42093,US,5.615039446,11191
Ni60,7571,627ME-4Y1,,-86359,42093,US,6.050153204,11192
Ni60,7571,627ME-4Y1,,-86359,42093,US,6.692463989,11193
Ni60,7571,627ME-4Y1,,-86359,42093,US,6.599225326,11194
Ni60,7571,627ME-4Y1,,-86359,42093,US,7.044698936,11195
Ni60,6897,Ag-0,CS76430,1.3,45.0,France,8.249952899,11196
Ni60,6897,Ag-0,CS76430,1.3,45.0,France,5.887003427,11197
Ni60,6897,Ag-0,CS76430,1.3,45.0,France,7.669400658,11198
Ni60,6897,Ag-0,CS76430,1.3,45.0,France,7.954584215,11199
Ni60,6897,Ag-0,CS76430,1.3,45.0,France,6.386074652,11200
Ni60,6897,Ag-0,CS76430,1.3,45.0,France,6.182372111,11201
Ni60,6988,Alc-0,,-3.36,40.49,Spain,7.905090928,11202
Ni60,6988,Alc-0,,-3.36,40.49,Spain,6.947515481,11203
Ni60,6988,Alc-0,,-3.36,40.49,Spain,6.560410513,11204
Ni60,6988,Alc-0,,-3.36,40.49,Spain,6.448353811,11205
Ni60,6988,Alc-0,,-3.36,40.49,Spain,6.081622789,11206
Ni60,6988,Alc-0,,-3.36,40.49,Spain,7.120694019,11207
Ni60,1,ALL1-2,,1.48333,45.2667,France,7.36436197,11208
Ni60,1,ALL1-2,,1.48333,45.2667,France,6.316320622,11209
Ni60,1,ALL1-2,,1.48333,45.2667,France,6.559615935,11210
Ni60,1,ALL1-2,,1.48333,45.2667,France,6.681263591,11211
Ni60,1,ALL1-2,,1.48333,45.2667,France,7.074279097,11212
Ni60,1,ALL1-2,,1.48333,45.2667,France,6.204030478,11213
Ni60,2,ALL1-3,,1.48333,45.2667,France,8.792856204,11214
Ni60,2,ALL1-3,,1.48333,45.2667,France,6.850141378,11215
Ni60,2,ALL1-3,,1.48333,45.2667,France,7.918174174,11216
